existing,alias,docstring,comment
red,vermelho
green,verde
blue,azul
octagon,octógono
pattern,padrão
clean,limpar
home,início
forward,avançar
back,retroceder
right,direita
left,esquerda
penup,levantar-pincel
pendown,baixar-pincel
setheading,definir-título
setxy,definirxy
start-fill,iniciar-enchimento
end-fill,terminar-enchimento
wait,esperar
draw-turtle-commands,desenhar-comandos-tartaruga
